,ID,Title,Text,Category,Group
0,1,W Architecture & Landscape Architecture,"W Architecture & Landscape Architecture (W Architecture) is an international architecture and landscape architecture firm based in Brooklyn, New York City. Founded in 1999 by Barbara E. Wilks, the firm is primarily known for its design of major waterfront reclamation projects and collaborative repurposing of public spaces. W Architecture has received substantial coverage in the media for the Edge Park in Williamsburg, Brooklyn; a redesign of the West Harlem waterfront; restoration of St. Patrick's Island in Calgary; and the recent Plaza 33 Madison Square Garden adjacency.

History
W Architecture & Landscape Architecture was formed as a Limited Liability Corporation in 1999 by Barbara E. Wilks, who remains founder and principal of the firm. Wilks, a fellow in both the American Institute of Architects (FAIA) and the American Society of Landscape Architects (FASLA), claims to have started the company ""to create a design-oriented, multidisciplinary practice focused on urban issues,"" and to ""realign nature and the city. In recent years, W Architecture's projects have increasingly moved toward larger collaborations spanning multiple municipal agencies such as NYCEDC and other neighborhood revitalization organizations or economic development councils.

Philosophy
In the 2015 Now Urbanism: The Future City is Here W Architecture is described as being part of a ""new kind of urban activism and urban design,"" willing to ""stimulate social action for sustainable urban design and therefore cooler cities."" The firm's site plans display a preference for the reintroduction of natural ecological systems rather than ad hoc botanical features. The designs tend to emphasize the resiliency of local flora previously displaced by manmade, commercial manipulation of municipal waterways. Consistent characteristics throughout the firm's portfolio are the utilization of reclaimed local materials, streets and walks that turn into greenways, sloped planes, as well as long angular overlays and subtle dimensional transitioning to introduce water, botanical, and recreational features. Not all the firm's projects are waterfront revitalizations, however, Wilks said, speaking at the 2013 reSITE conference in Prague, she enjoys this kind of work because it's ""where natural systems come together with manmade, human systems.""
Wilks has also integrated a research component into the firm's projects regarding the advantages of bringing back wetland areas to the New York City coastline. She has advocated for the reintroduction of these areas as a means to buffer storm surge, especially after damages caused by Hurricane Sandy, and to increase access to waterfront areas for people and animals.

Notable Projects
The Edge Park in Williamsburg
New zoning laws passed in accordance with Bloomberg's claiming of the river as ""the sixth borough"" opened the way for multiple waterfront parks in New York City such as The Edge Park in Williamsburg, Brooklyn. Anticipating an increase in density and need for waterfront access, the park was deemed a mixed-use site along the East River and completed in March 2011. According to Wilks, the park allows ""the city grid and the river's ecosystem to converge, mingle, and clash..."" To this end, W Architecture utilized several of its signature elements including: a street that becomes a pedestrian greenway; deep pier structures that make the area seem more like land than traditional piers; a garage area covered by a sloping lawn; and stone that allows for rising and falling waterlines.

St. Patrick's Island
A restoration of the previously existing island park in the Bow River between the East Village and Bridgeland, in Calgary, Alberta, St. Patrick's Island was a collaborative project by W Architecture and Denver-based Civitas. Though already established as a park in the late 19th century, the island had been degrading and was seen by the city as an underused area that had fallen into disrepair. In 2010 Calgary Municipal Land Corporation began an effort to re-establish the park to its current usable area of 31 hectares. Completed in July 2015, the park now features a number of elements that have both made it more usable to the public and have restored its channels and biodiversity. Features include: a ""seasonal breach"" for wading onto a gravel bar; a sloped grassy knoll which serves as s viewing area for movies, performances, and sledding in the winter; a riparian wetland with a boardwalk across it; amphitheater and water features; and a 23-meter sculpture entitled ""Bloom.""

West Harlem Piers Park
As a major early component of a larger waterfront master plan undertaken for West Harlem, West Harlem Piers Park was completed in the Fall of 2008. The result of efforts by 40 neighborhood groups and coalitions, the park linked the coastline between Riverside Park and Riverbank State Park. As master planners for the project, W Architecture converted a narrow strip of land, essentially a 69,000 sq. ft. parking lot that cut off the community of West Harlem from the waterfront, into a 105,526 sq. ft. park. It features granite benches, sloped lawn areas, repurposed cobblestone in paved areas, and various water access features for kayaking, fishing, and general recreation. As a result of the design a substantial increase in land permeability was achieved and accommodations for fluctuating runoff and storm surges have allowed the park to sustain dramatic weather events since its completion.

Portfolio
Tide Point
Plaza 33
St. Petersburg Pier Approach
The Bentalou Library
Troy Riverfront Park
Cornell University College of Human Ecology
Doma Gallery
King Abdullah Financial District
Sheikh Rashid Bin Saeed Crossing
Tyson's Corner Master Plan
USS Constellation
Villahermosa

Awards
St. Patrick’s Island
2016 National Urban Design Awards; St. Patrick’s Island 
Urban Design Catalyst Calgary 2016; Mayor’s Award; St. Patrick’s Island
Canadian Society of Landscape Architects 2015; Regional Merit Award; St. Patrick’s Island
ASLA Denver 2015 Honor Award; St. Patrick’s Island
AIA NY 2014 Design Award; St. Patrick’s Island

West Harlem Piers Park
AIA 2005 National Honor Award for Regional and Urban Design
Beverly Willis Foundation 2015 Built by Women NYC Award; West Harlem Piers Park 
MASterworks Awards 2010; Neighborhood Catalyst, West Harlem Piers Park
ASLA NY 2009 Honor Award; West Harlem Piers Park
The Waterfront Center 2009; Honor Award; West Harlem Piers Park

The Edge Park
ASLA NY 2012 Merit Award; The Edge Park

Plaza 33
ASLA-NY 2016 Design Awards; Plaza 33 
AIA NY 2016 Design Award; Plaza 33 
AIA NYS 2016 Honor Award
ASLA NY 2016 Honor Award

DoMa Gallery
AIA 2004 National Honor Award
AIA NYS 2003 Award of Excellence

Cornell University, Human Ecology Building
AIA NY 2012 Merit Award; Cornell University, Human Ecology Building

Tide Point
ASLA 2003 National Design Merit Award


== Sources ==",Category:Landscape architecture,2
1,2,Frisian house,,Category:Architecture,2
2,3,Cape Cod (house),"A Cape Cod house is a low, broad, single-story frame building with a moderately steep pitched gabled roof, a large central chimney, and very little ornamentation. Originating in New England in the 17th century, the simple symmetric design was constructed of local materials to withstand the stormy, stark weather of Cape Cod. It features a central front door flanked by multi-paned windows. The space above the 1st floor was often left unfinished, with or without windows on the gable ends.
The style enjoyed a boom in popularity and adaptation to modern needs in the 1930s-1950s, particularly with Colonial Revival embellishments. It remains a feature of New England homebuilding.

History
The Cape Cod style originated with the colonists who came from England to New England. They adapted the English Hall and parlor house, using local materials to best protect against New England's notoriously stormy weather. Over the next several generations emerged a 1- to ?1 1?2-story house with wooden shutters and clapboard or shingle exterior.
The Reverend Timothy Dwight IV (1752–1817), president of Yale University from 1795–1817, coined the term ""Cape Cod House"" after a visit to the Cape in 1800. His observations were published posthumously in Travels in New England and New York (1821–22). The style was popularized more broadly in a slightly more elaborate Colonial Revival variant popularized in the 1930s–50s, though traditional unornamented capes remain common in New England.

Climate influences
Using local materials – cedar for shingles and pine for framing and flooring – settlers built houses adapted to New England’s extreme winter climate. Temperatures in January and February can drop to -20F, with snow accumulations often reaching several feet. To fight the chill, they built massive central chimneys and low ceilinged rooms to conserve heat. The steep roof characteristic of New England homes minimized snow load. Finally, colonists installed shutters on the windows to hold back heavy winds.

Colonial and Federal Capes (17th century–early 19th century)
Colonial-era Capes were most prevalent in the Northeastern United States and Atlantic Canada. They were made of wood, and covered in wide clapboard or shingles, often unpainted, which weathered grey over time. Most houses were small, usually 1,000–2,000 square feet in size. Often windows of different sizes were worked into the gable ends, with those of nine and six panes the most common.
The style has a symmetrical appearance with front door in the center of the house, and a large central chimney that could often accommodate back-to-back fireplaces. The main bedroom was on the first floor, with an often unfinished loft on the second. A typical early house had no dormers and little or no exterior ornamentation.

Framing and layout
The overwhelming majority of early capes were timber framed, with three bays formed by four bents. A few late examples of early capes used stud framing, and plank frame was also used.
The first Cape Cod houses fall into four categories: the quarter, half, three-quarter, and full Cape. The comparatively rare quarter cape is a single bay, usually a wider ""outside"" bay that would become rooms. It has a single door and a single window on the front, but is full depth. The half Cape is two bays, with a door to one side of the house and two windows on one side of the door; the three-quarter Cape has a door with two windows on one side and a single window on the other, while the full Cape consists of a front door in the center of the home, flanked on each side by two windows. Otherwise, the three categories of early Cape Cod houses were nearly identical in layout. Inside the front door, a central staircase led to the small upper level, which consisted of two children’s bedrooms. The lower floor consisted of a hall for daily living (including cooking, dining, and gathering) and the parlor, or master bedroom.
Some use a different naming system, and call the full-size version a ""double cape,"" but this is used more often for an extended duplex structure.
""High post,"" also known as ""kneewall,"" capes were originally an uncommon variant, but became more so into the 19th century, and became a feature of cape-derived vernacular architecture in the Midwest. The posts extend vertically past the first floor, increasing usable space on the second floor and simplifying joinery, at a cost of structural rigidity. The kneewall was often fenestrated with small low windows.

Adaptations
Over the years owners doubled the full Cape and added wings onto the rear or sides, typically single-storied. Dormers were added for increased space, light, and ventilation. A screened-in porch was sometimes added to one side of the home, rarely the front.

Colonial Revival (1930s–1950s)
Colonial Revival Cape Cod houses are very similar to Colonial Cape Cod houses, but some have the chimney at one end of the living room on the side of the house. Elaborate replicas were designed for the affluent, while architects such as Royal Barry Wills modernized the Cape for middle-class families by including modern amenities that addressed demands for increased privacy and technology, including bathrooms, kitchens, and garages. Adaptations proliferated throughout suburbs which emerged after World War II, and planned communities like Levittown, New York offered Cape Cod styled tract housing, particularly to returning soldiers.

Today
?1 1?2-story Capes remain a popular, affordable style on the housing market.

See also
Cape Cod style of lighthouse architecture

References
External links
Retro Renovation - The Royal Barry Wills Cape Cod House",Category:Articles using small message boxes,2
3,4,Book:Romanesque Art and Architecture,0,Category:Wikipedia books (community books),2
4,5,Portal:Architecture,,Category:Featured portals,2
5,6,Church of Saint Joseph the Worker,"The Church of Saint Joseph the Worker (Alcamo) is a Catholic Church located in Alcamo, in the province of Trapani.

Historical hints
Thanks to the priest Bartolomeo Palumbo, it was founded in 1946 on a piece of land given by a lady and built after the plan of Giuseppe Russo, an engineer; it already became a parish in 1947.
The same year, the parson, Father Palumbo, founded the male and female Congregation of saint Joseph the Worker; every year, on the 23rd January, they celebrated the festivity of Saint Joseph’s Marriage, by taking part to the Mass, during which the married couples were blessed. Later both the congregations joined the parish Association of Azione Cattolica.
In 1949 he founded the male and female Congregations of Maria Santissima di Fatima: the scope was that of solemnizing the month of May and the feast of Our Lady of Fatima on May 13, moreover they had to take part to the Mass on the first Saturday each month. They also joined the Associations of Azione Cattolica later.
Saint Joseph the Worker is celebrated on May 1, in the district of San Ciusippuzzu. Besides religious ceremonies and the procession, there are musical and theatrical shows and bike races.

Father Palumbo
Father Palumbo was born in Alcamo on 29 August 1915 and became a priest in 1941; he soon had the office of Vicar Cooperator in the parishes of the Church of the Saints Paul and Bartholomew, Saint Francis of Paola and the Holy Souls.
On bare feet, with a cross on his hands and a great number of believers, on 30 April 1944 he went towards the quarter of Balatelle (a suburb at that time) on the piece of land which had been donated to him by Mrs. Annunziata Macaluso, the widow of the chemist doctor Fazio, put down the cross there and, since then, every Sunday he celebrated the Holy Mass on a makeshift altar.
Until he stayed in seminary he was a great devotee of Saint Joseph: during the night he got up, kneeled and recited the rosary in honour of him, this prayer in dialect, very interesting also from the symbolical point of view:
Scura stasira agghiorna dumani
la pruvvidenza m’aviti a mannari.
(It was a prayer asking for Providence from the Saint). He asked for saint Joseph’s protection both for his family and the Church, then he put his project on the Saint’s hands. In 1947 he succeeded in completing the basement below the Church and start celebrating Mass there.[4]
With his zeal and faith, Father Palumbo succeeded in dragging all the district and citizens to contribute to the costs for completing the building of the Church by any type of offerings, even in kind (wheat, eggs, legumes, flour, etc.). He used all these things, however, to help a lot of people in need too; there are so many stories about his great goodness. He succeeded also in creating a parish community very united and open to charity.
With the bishop’s bull of May 3, 1947, the Church was elevated to a parish and the following day the Bishop of Mazara del Vallo, His Excellency Monsignor Ballo, gave father Palumbo the canonical possession. Father Palumbo's mother, signora Vita Rocca, had donated her dowry for the legal recognition of the Parish, which was given with the Decree of the President of Republic on 10 June 1948.
On 30 May he died, leaving his parish community and the whole town in anguish for his untimely end: there were thousands of people at his funeral.
He was buried in the old cemetery Cappuccini in Alcamo and, after the approval by His Excellency Mons. Alessandro Plotti, on 22 October 2013, by popular demand of believers, his mortal remains were moved to his Church.

Description and works
The façade is elegant and in Romanesque style; the interior is with one nave and a coffered ceiling.
There are these works: :
Wooden statue of saint Joseph with the Infant Jesus in his arms made by Giuseppe Di Caro, a sculptor from Palermo, in 1952. The mantle of the saint is covered with pure gold, and their clothes with silver.
An Angel trumpet player and the Angel musician: both chromium-plated by Gino Patti, the surrealist painter from Alcamo, on the walls behind the high altar
Wooden statue of Our Lady of Fatima, right altar, realized by Giuseppe Stuflesser from Ortisei (Bolzano) in 1949
Statue of Christ the King, left altar, realized by Luigi Santifaller in 1954. Below it there is the sarcophagus with the mortal remains of the Reverend Father Palumbo.

See also
Catholic Church in Italy

References
Sources
Vincenzo Regina: La chiesa parrocchiale di San Giuseppe in ALcamo; Grafiche Campo, 2005
Carlo Cataldo: Guida storico-artistica dei beni culturali di Alcamo-Calatafimi-Castellammare Golfo p. 84; Sarograf, Alcamo,1982
Carlo Cataldo: La conchiglia di S.Giacomo p. 190; Campo, Alcamo, 2001

External links
http://www.alqamah.it/2013/10/22/verra-traslata-nella-chiesa-di-san-giuseppe-la-salma-di-padre-palumbo/
http://win.lasberla.com/Cultura-trapani/2225-comunicazione-evento--della-traslazione-salma-sac-bartolomeo-palumbo-#.V9Fxva2s9Z8
http://www.sangiuseppealcamo.it/sangiuseppe/2016/04/10/1-maggio-2016-festa-in-onore-di-san-giuseppe-lavoratore/",Category:Roman Catholic churches in Alcamo,2
6,7,Envirotecture,"People, paths, and purposes is the concept of Envirotecture.
Defined it is the use of Architecture, Audio - Visual Experience, and purposeful direction of individuals to experience a ""milieu"" for the purpose of immersion into an emotional and physical experience.
The first reference know to this author is the book People, Paths, and Purposes: Notations for a Participatory Envirotecture written by Phillip Thiel in 1997. I will reference this work for future entries about the subject.
This book is an explanatory and definitive work which develops the concept of Envirotecture from ancient historical examples to modern day uses.
In a similar way that Feng Shui uses a system of energies to determine human participation in an environment, Envirotecture is using special tools to view the environment from a ""experiential point of view"" to allow designers to include visual, auditory and other accents, to heighten the ""reality"" of the experience.

Concepts of design : the human experience.
As a human, you are able to have many Social / Cultural experiences in life.
Close your eyes and remember a special moment in your life.
The sights....
The Sounds....
The Visceral reaction of your body to the situation...
THIS, intentional or not ""Is the human domain.""
Our understanding of the world around us is based on physical evidence, and our human emotional response to it.


== References ==",Category:Articles with multiple maintenance issues,2
7,8,Ordos Museum,,Category:Articles containing Chinese-language text,2
8,9,Organizational space,"Organizational space describes the influence of the spatial environment on the health, the mind, and the behavior of humans in and around organizations. It is an area of scientific research in which interdisciplinarity is a central perspective. It draws from management, organization and architecture (Dale and Burrell, 2008) added with knowledge from, for instance, environmental psychology (Evans and Mitchell, 1998), social medicine (Macintyre et al., 2002), or spatial science (Festinger et al., 1950). In essence, it may be regarded as a special field of expertise of organization studies and change management applied to architecture. The knowledge area is related to evidence-based design in which the influence of the spatial environment on patient's health, healing, and customer satisfaction are being researched in health care. It is also related to practice-based areas of management such as facility management which is primarily devoted to the maintenance and care of commercial or institutional buildings and to property management in which the operation of real estate is central. Sometimes it is also referred to as organizational architecture. The scientific field of organizational space must be distinguished from social architecture in which the development of information and communication technologies is central and also different from space science which is concerned with the study of the universe.

Spatial, physical and built environment
This research strand distinguishes three different environments: the spatial environment from the physical environment and the built environment.
Spatial environment: the total context in which humans in and around organizations function.
Physical environment: all tangible physical entities in and around organizations.
Built environment: that what is commonly understood as architecture and that what is permanently fixed to it.

Organizational-spatial cycle of change
The coherence between the organization and its spatial environment may be regarded as an interwoven interdisciplinary cyclical flux from contingencies, intermediates, performances to interventions (Mobach, 2009). The contingencies are the organizational, architectural, technological, and natural conditions under which organization function. In the end they influence the performance of an organization, but first they mix in the intermediates. In this way humans in and around organizations will, for instance, notice these contingencies and will give them meaning (Clegg and Kornberger, 2006; Van Marrewijk and Yanow, 2010). Moreover, the contingencies will also influence social contact (Becker, 1981; Steele, 1973) and the degree to which a spatial environment can be functional (Sharles, 1923). Subsequently, the intermediates influence different performances, for instance, the health, the mind, and the behavior of people in and around organizations. The spatial environment can cause illness, such as with the sick building syndrome (EPA, 1991), but it can also positively influence the vitality of people or the recovery after an operation (Ulrich, 1984). The performances can provoke managerial intervention. In turn, these interventions will change the contingencies, and by doing so, change the elements, relations, and properties of the conditions under which people function.

Sources
Becker, F.D. 1981. Workspace: Creating Environments in Organizations. New York: Praeger. ISBN 0-03-059137-6
Clegg, S.R., Kornberger, M. (eds.). 2006. Space, Organizations and Management Theory. Copenhagen: Liber & CBS Press. ISBN 87-630-0164-0
Dale, K., Burrell, G. 2007. The Spaces of Organisation & The Organization of Space -Power, Identity & Materiality at Work. Basingstoke: Palgrave MacMillan. ISBN 0-230-57268-5
EPA (U.S. Environmental Protection Agency). 1991. Office of Air and Radiation. Indoor Air Facts No. 4: Sick Building Syndrome Washington: EPA.
Evans, G.W., Mitchell, J. 1998. When Buildings Don’t Work: The Role of Architecture in Human Health. Journal of Environmental Psychology. 18: 85-94.
Festinger, L., Schachter, S., Back, K. 1950. Social Pressures in Informal Groups -A Study of Human Factors in Housing. Stanford: Stanford University Press. ISBN 0-8047-0173-3
Macintyre, S., Ellaway, A., Cummins, S. 2002. Place Effects on Health: How Can We Conceptualise, Operationalise and Measure Them? Social Science & Medicine. 55(1): 125-139.
Marrewijk, A.H. van, Yanow, D. (eds.) 2010. Organizational Spaces. Rematerializing the Workaday World. Cheltenham: Edward Elgar. ISBN 978-1-84844-650-2
Mobach, M.P. 2009. Een organisatie van vlees en steen. Assen: Van Gorcum. ISBN 978-90-232-4531-5
Sharles, F.F. (ed.). 1923. Business Building -A Complete Guide to Business for the Wholesaler, Retailer, Manufacturer, Agent etc. Volume I. London: Pitman.
Steele, F. 1973. Physical Settings and Organization Development. Addison-Wesley: Reading Massachusetts. ISBN 0-201-07211-4
Ulrich, R.S. 1984. View Through a Window May Influence Recovery From Surgery. Science. 224(4647): 420-421.",Category:Healthcare quality,2
9,10,Building design,"Building design refers to the broadly based architectural, engineering and technical applications to the design of buildings. All building projects require the services of a building designer, typically a licensed architect or structural engineer. Smaller, less complicated projects often do not require a licensed professional, and the design of such projects is often undertaken by building designers, draftspersons, interior designers (for interior fit-outs or renovations), or contractors. Larger, more complex building projects require the services of many professionals trained in specialist disciplines, usually coordinated by an architect.

Occupations
Architect
An architect is a person trained in the planning, design and supervision of the construction of buildings. Professionally, an architect's decisions affect public safety, and thus an architect must undergo specialized training consisting of advanced education and a practicum (or internship) for practical experience to earn a license to practice architecture. In most of the world's jurisdictions, the professional and commercial use of the term ""architect"" is legally protected.

Building engineers
Building engineering typically includes the services of electrical, mechanical and Structural engineers.

Draftsperson (Draughtsman)
A draftsperson or documenter is someone who has attained a certificate or diploma in architectural drafting (or equivalent training), and provides services relating to the preparation of construction documents rather than building design. Some draftspersons are employed by architectural design firms and building contractors, while others are self-employed.

Building designer
In many places, building codes and legislation of professions allow persons to design single family residential buildings and in some cases light commercial buildings without an architectural license. As such, ""Building designer"" is a common designation in the United States, Canada and elsewhere for someone who offers building design services but is not a licensed architect or engineer.
Anyone may use the title of ""building designer"" in the broadest sense. In many places, a building designer may achieve certification demonstrating a higher level of training. In the U.S., the National Council of Building Designer Certification (NCBDC), an offshoot of the American Institute of Building Design, administers a program leading to the title of Certified Professional Building Designer (CPBD). In most cases, building designers are trained as architectural technologists or draftspersons; they may also be architecture school graduates that have not completed licensing requirements.
Many building designers are known as ""residential"" or ""home designers"", since they focus mainly on residential design and remodeling. In the U.S. state of Nevada, ""Residential Designer"" is a regulated term for those who are registered as such under Nevada State Board of Architecture, Interior Design and Residential Design, and one may not legally represent oneself in a professional capacity without being currently registered.
In Australia where use of the term architect and some derivatives is highly restricted but the architectural design of buildings has very few restrictions in place, the term building designer is used extensively by people or design practices who are not registered by the relevant State Board of Architects. In Queensland the term building design is used in legislation which licences practitioners as part of a broader building industry licensing system. In Victoria there is a registration process for building designers and in other States there is currently no regulation of the profession. A Building Designers Association operates in each state to represent the interests of building designers.

Building Surveyor (UK)
Building surveyors are technically minded general practitioners in the United Kingdom, Australia and elsewhere, trained much like architectural technologists. In the UK, the knowledge and expertise of the building surveyor is applied to various tasks in the property and construction markets, including building design for smaller residential and light commercial projects. This aspect of the practice is similar to other European occupations, most notably the geometra in Italy, but also the géomètre in France, Belgium and Switzerland. the building surveyors are also capable on establishment of bills of quantities for the new works and renovation or maintenance or rehabilitation works.
The profession of Building Surveyor does not exist in the US. The title Surveyor refers almost exclusively to Land surveyors. Architects, Building Designers, Residential Designers, Construction Managers, and Home Inspectors perform some or all of the work of the U.K. Building Surveyor.

See also
Architectural designer
Landscape architect
Surveying
Architecture


== References ==",Category:Building engineering,2
