,ID,Title,Text,Category,Group
0,1,Category:Biological processes,,Category:Biology,4
1,2,Natural Resistance-Associated Macrophage Proteins,"Natural Resistance-Associated Macrophage Proteins (NRAMPs) are members of the Metal Ion (Mn2+-iron) Transporter (NRAMP) Family (TC# 2.A.55). The NRAMP family is a member of the large APC Superfamily of secondary carriers. Homologues of this family are found in various yeasts, plants, animals, archaea, and Gram-negative and Gram-positive bacteria termed ""natural resistance-associated"" macrophage proteins because one of the animal homologues plays a role in resistance to intracellular bacterial pathogens such as Salmonella enterica serovar Typhimurium, Leishmania donovani and Mycobacterium bovis. The natural history of SLC11 genes in vertebrates has been discussed by Neves et al. (2011). Proposed to be a distant member of the APC Superfamily, several human pathologies may result from defects in NRAMP-dependent Fe2+ or Mn2+ transport, including iron overload, neurodegenerative diseases and innate susceptibility to infectious diseases.

NRAMP2
Humans and rodents possess two distinct NRAMPs. The broad specificity NRAMP2 (DMT1), which transports a range of divalent metal cations, transports Fe2+ and H+ with a 1:1 stoichiometry and apparent affinities of 6 ?m and about 1 ?m, respectively. Variable H+:Fe2+ stoichiometry has also been reported. The order of substrate preference for NRAMP2 is:
Fe2+> Zn2+> Mn2+> Co2+> Ca2+> Cu2+> Ni2+> Pb2+
Many of these ions can inhibit iron absorption. Mutation of NRAMP2 in rodents leads to defective endosomal iron export within the ferritin cycle, impaired intestinal iron absorption and microcytic anemia. Symptoms of Mn2+ deficiency are also seen. It is found in apical membranes of intestinal epithelial cells but also in late endosomes and lysosomes.

NRAMP1
In contrast to the widely expressed NRAMP2, NRAMP1 is expressed primarily in macrophages and monocytes and appears to have a preference for Mn2+ rather than Fe2+. NRAMP1 (TC# 2.A.55.2.3) has been reported to function by metal:H+ antiport. It is hypothesized that a deficiency for Mn2+ or some other metal prevents the generation of reactive oxygenic and nitrogenic compounds that are used by macrophage to combat pathogens. This hypothesis is supported by studies on the bacterial NRAMP homologues which exhibit extremely high selectivity for Mn2+ over Fe2+, Zn2+ and other divalent cations. Regulation of these transporters in bacteria can occur through Fur, OxyR, and most commonly a DtxR homolog, MntR.

Smf and other homologues
The Smf1 protein of Saccharomyces cerevisiae appears to catalyze high-affinity (KM = 0.3 ?m) Mn2+ uptake while the closely related Smf2 protein may catalyze low affinity (KM = 60 ?m) Mn2+ uptake in the same organism. Both proteins also mediate H+-dependent Fe2+ uptake. These proteins are of 575 and 549 amino acyl residues in length and are predicted to have 8-12 transmembrane ?-helical spanners. The E. coli homologue of 412 aas exhibits 11 putative and confirmed TMSs with the N-terminus in and the C-terminus out. The yeast proteins may be localized to the vacuole and/or the plasma membrane of the yeast cell. Indirect and some direct experiments suggest that they may be able to transport several heavy metals including Mn2+, Cu2+, Cd2+ and Co2+. A third yeast protein, Smf3p, appears to be exclusively intracellular, possibly in the Golgi. NRAMP2 (Slc11A2) of Homo sapiens (TC# 2.A.55.2.1) has a 12 TMS topology with intracellular N- and C-termini. Two-fold structural symmetry in the arrangement of membrane helices for TM1-5 and TM6-10 (conserved Slc2 hydrophobic core) is suggested.

Transport Reaction
The generalized transport reaction catalyzed by NRAMP family proteins is:
Me2+ (out) + H+ (out) ? Me2+ (in) + H+ (in).

See also
APC Superfamily
Solute carrier family
Transporter Classification Database
SLC11A1
SLC11A3
DMT1

References

As of 2 February 2016, this article is derived in whole or in part from Transporter Classification Database. The copyright holder has licensed the content in a manner that permits reuse under CC BY-SA 3.0 and GFDL. All relevant terms must be followed. The original text was at ""2.A.55 The Metal Ion (Mn2+-iron) Transporter (Nramp) Family"".",Category:Protein pages needing a picture,4
2,3,FAM63B,"FAM63B is a protein which in humans is encoded by the gene FAM63B. This gene is highly expressed in humans. The FAM63B gene is also highly conserved throughout evolutionary history. The discovered function of FAM63B is an interaction with the kinesin-1 light chain and the transportation of vaccinia virus from the nucleus to the cell periphery.

Gene
Locus
FAM63B is located at 15q21.3-q22.1, spanning 90,707 base pairs on chromosome 15.

Alternative Names
The full name of FAM63B is family with sequence similarity 63, member B. FAM63B is also listed by its alias, KIAA1164, in some publications.

mRNA
Isoforms
The FAM63B gene encodes a primary transcript that can be alternatively spliced into 9 protein variants. FAM63B variant a is the most common isoform found in humans.

Protein
Structure
Primary Structure
FAM63B is a member of the Pfam super family, and contains a domain of unknown function (DUF544) that is homologous within the protein family. FAM63B protein variant an also contains a bipartite tryptophan binding motif from W476 to W533. Variant a of the protein also contains a hydrophobic stretch of alanine from 567 to 574 and a mixed charge sequence from residue 598 to 617. FAM63B protein may contain a signal sequence specifying return to the endoplasmic reticulum (KDEL) from residue 607 to 621 in variant a.

Secondary Structure
The secondary structure of FAM63B is a combination of coils, some ?-helices, and few ?-sheets. The Phyre 2 program predicts ?-helices in 23% of the protein, ?-strands in 9% of the protein, and the remaining 59% of the protein as disordered. The disordered regions coincide with the coiled regions predicted by other programs, and this results in the long stretch of coiled protein beginning at the N-terminus. According to the SOUSI program, there is a 16-amino acid-long span from residues 265 to 280 of FAM63B that could be a transmembrane sequence. However, transmembrane sequences generally need to be at least 20 amino acids long in order to be stable in the membrane, so a transmembrane sequence is unlikely. Therefore, FAM63B is not fixed in the membrane of any organelle and is free to move through the cell and between organelles.

Tertiary Structure
Not much is known about the tertiary structure of FAM63B. A predicted folding is shown.

Post-translational Modifications
Post-translational modifications of the FAM63B protein.

Subcellular Location
FAM63B has predicted NES (nuclear export signals) at Val274 and Leu277. Also, a NLS (nuclear localization signal) is predicted for FAM63B at RKRK at residue 599. In agreement, Reinhardt’s method for cytoplasmic/nuclear discrimination predicts FAM63B to be located in the nucleus with a reliability of 76.7%. The presence of both NLS and NES signals and O-GlcNAc post-translational modification of FAM63B supports the protein's location in both the nucleus and cytoplasm and the discovered protein function as a shuttle for vaccinia virus between the nucleus and the cell periphery.

Expression
Expression Level
FAM63B has moderately-high to high expression and is constitutively expressed. FAM63B is likely ubiquitously expressed in humans.

Differential Expression
Expression of FAM63B is high in the embryonic stem cells and differentiated tissues but low or off in embryoid bodies and other progenitor cells, such as the multipotent mesenchymal stem cells. It is likely that FAM63B is expressed during pluripotency and unipotency but is not important for differentiation, as is occurring in embryoid bodies, mesenchymal stem cells, and other progenitor cells.

Regulation of Expression
Transcriptional Regulation
The promoter of FAM63B is GXP_5885, located on the positive strand of chromosome 15 from (58770692, 58771462) and is 711 base pairs long.

Interacting Proteins
FAM63B is shown to interact with one protein, KLC-1. KLC-1, kinesin light chain 1, is a protein which recruits kinesin-1 via its cargo binding light chain and contains a bipartite tryptophan binding motif. This motif is present in a vaccinia virus integral membrane protein, A36, that is required for transport of the virus from the perinuclear space to the cell periphery. In the absence of A36, proteins with a bipartite tryptophan binding motif can interact with the kinesin light chain, recruit KLC-1, and promote virus transport from the nucleus to the cytoplasm.

Function
The discovered function of FAM63B protein is a transporter of vaccinia virus in the human genome. FAM63B contains a bipartite tryptophan binding motif between W476 and W533. The motif also contains a Q residue at the +2 position, which was found to be a frequent occurrence in proteins that bind KLC-1 or KLC-2. FAM63B is among proteins studied that can rescue virus transport to the cell periphery when expressed in A36-deficient cells, successfully replacing the cytoplasmic domain A36 of vaccinia.

Clinical Significance
Pathology
The specific pathology of FAM63B is unknown.

Disease Association
FAM63B is part of four networks regulated by miRNA, three of which are linked to neuronal differentiation and dopaminergic gene expression. These findings indicate that FAM63B could be used as a biomarker for the detection and treatment of schizophrenia. Furthermore, aberrant methylation of FAM63B may play a role in the development of schizophrenia. FAM63B has also been ranked 13 of 25 on a list of associated genes relevant to arthritis.

Homology
Paralogs
FAM63B has one paralog, FAM63A, which is a gene of unknown function. FAM63A gene encodes a protein that is 469 amino acids long and 76% similar to FAM63B.

Orthologs
FAM63B has been found in all multicellular and unicellular eukaryotes, including plants but excluding protists and fungi. The gene has also been found in archaea but not bacteria.

Distant Homologs
The most distant homolog of FAM63B is found in Thermoplasmatales archaeon, an archaea that diverged from the human gene 4.25 billion years ago.

Homologous Domains
FAM63B is a member of the Pfam super family, and contains a domain of unknown function (DUF544) homologous within the protein family. This region of the protein is highly conserved through FAM63B homologs, as is the bipartite tryptophan binding motif of FAM63B and the C-terminus signal sequence.

Phylogeny
The phylogenetic tree below shows a time calibration for the evolution of FAM63B.


== References ==",Category:Biology,4
3,4,Category:Biotechnology,,Category:Biology,4
4,5,Category:Eukaryote biology,,Category:Biology,4
5,6,Portal:Biology,,Category:Featured portals,4
6,7,Sulfide intrusion,"In biology, sulfide intrusion refers to an excess of sulfide molecules in the soil interfering with plant growth, often seagrass.
Seagrass bed sediment (soil) is typically anoxic, containing a reduced form of sulfur: hydrogen sulfide (H2S). H2S is a phytotoxin that results from anaerobic digestion, the decomposition of organic matter in the absence of oxygen. However, seagrass can persist in this environment because of physiological adaptations, as well as functional adaptations of other organisms in the ecosystem. For example, bivalves (clams) in the family Lucinidae host symbiotic bacteria that oxidize sulfides. Lucinid bivalves' gills house the bacteria, and the siphon supplies the bacteria and surrounding pore water with oxygenated water from above the sediment. Bacterial oxidation of the sulfides results in sulfates, reducing toxicity.

See also
Nutrient cycle
Redox
Sulfur cycle
Soil chemistry
Soil biology
Environmental microbiology
Microbial biodegradation


== References ==",Category:Biology,4
7,8,Category:Quantum biology,,Category:Biology,4
8,9,Nicotinamide ribonucleoside uptake transporters,"The Nicotinamide Ribonucleoside (NR) Uptake Permease (PnuC) Family (TC# 4.B.1) is a family of transmembrane transporters that is part of the TOG superfamily. Close PnuC homologues are found in a wide range of Gram-negative and Gram-positive bacteria, archaea and eukaryotes.

Function
PnuC of Salmonella typhimurium and Haemophilus influenzae are believed to function cooperatively with NadR homologues, multifunctional proteins that together with PnuC, participate in NR phosphorylation, transport and transcriptional regulation. NadR, a cytoplasmic protein that is partly membrane associated, contains one well conserved and one poorly conserved mononucleotide-binding consensus sequence (G-X4 GKS). It drives transport and may render transport responsive to internal pyridine nucleotide levels. While its N-terminal half functions as a repressor, its C-terminal half functions as an NR kinase in a putative group translocation process.

PnuC of Haemophilus influenzae
The H. influenzae homologue has been shown to transport NR from the periplasm into the cytoplasm. Phosphorylation of NR by NadR is required for NR uptake. The ribonucleoside kinase (RNK) domain has both Walker A and Walker B motifs, responsible for ATP binding and phosphoryl transfer. In addition, a proposed LID domain was identified in RNK. LID domains have been found in other kinases, and these domains are regions which are able to move after substrate binding. They are responsible for coordination of three distinct conformations, an open state in the absence of substrate, a partially closed state after substrate binding, and a fully closed state when both substrates are present.
In H. influenzae, NR enters the NAD+ resynthesis pathway after phosphorylation to NMN, and subsequently, NAD+ is synthesized from NMN and ATP via an NMN adenylyl transferase activity. Summarizing these features, NadR represents an amazing multifunctional regulator/enzyme complex able to integrate several features, such as enzymatic catalysis, transport, and transcriptional regulatory activities.

Other constituents required for uptake
The components of the H. influenzae pathway necessary for NAD+, NMN, and NR uptake have been determined. Merdanovic et al. characterized two enzymes, an outer membrane nucleotide phosphatase, and an NAD+ nucleotidase (NadN) located in the periplasm. They showed that NAD+ and NMN cross the outer membrane mainly via the OmpP2 porin.
Only NR can be utilized by the PnuC transport system located in the inner membrane. The pnuC gene product is the protein that is responsible for the main flow of the NR substrate into the cytoplasm. The study of Merdanovic et al. suggests that the RNK activity of NadR determines NR transport and is negatively regulated by cytoplasmic NAD+ feedback inhibition. Therefore, NR uptake is under NadR feedback control.
ATP, not the proton motive force, appears to be required for NR uptake. Thus, the driving force for NR uptake via PnuC is NR phosphorylation by NadR. A concerted group translocation mechanism can be considered whereby NadR facilitates the dissociation of NR from PnuC by phosphorylating it to NMN, thus preventing efflux of NR.

Transport reaction
The proposed transport reaction catalyzed by PnuC and NadR is:
NR (out) + ATP (in) ? NMN (in) + ADP (in).

Structure
PnuC of Salmonella typhimurium and Haemophilus influenzae are integral membrane proteins, 239 and 226 amino acyl residues (aas) in length, respectively, with 7 putative transmembrane ?-helical segments.
The structure of NadR has been determined. Mutations in the nadR gene which interfere with NR uptake occur in the C-terminal part of NadR. A helix-turn-helix DNA binding domain present in NadR of S. enterica serovar Typhimurium  could not be found in the NadR homologue of H. influenzae. Therefore, it was proposed that in H. influenzae NadR has no regulatory function at the transcriptional level. The structures of the human NR kinase 1 (2QL6_P) with nucleotide and nucleoside substrates bound have been solved. It is structurally similar to Rossmann fold metabolite kinases.
PnuC has been shown to resemble SWEET porters in overall fold, supporting the conclusion that these two families are members of the TOG superfamily.

Crystal structures
NadR Protein from H. influenzae PDB: 1LW7?
NR transporter PnuC PDB: 4QTN?


== References ==",Category:Biology,4
9,10,Category:Biological interactions,,Category:Behavior,4
